;;;Csatlakozók / töltési módok;;;;;;;;Töltőpont címe;;;;
Töltőpont neve;Gyártó;Típus;Teljesítmény (Type 2);Darab (Type 2);Teljesítmény (CCS);Darab (CCS);Teljesítmény (CHAdeMO);Darab (CHAdeMO);Kapacitás;Szolgáltatás díja (bruttó);Irányító szám;Település;Cím;Mobiliti azonosító;GPS koordináták
Budapest - Bártfai utca 36.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1115;Budapest;Bártfai utca 36.       ;13051;47.467811,19.035079
Budapest - Fehérvári út 50.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1117;Budapest;Fehérvári út 50.       ;13052;47.46948,19.044902
Budapest - Bogdánfy utca 3.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1117;Budapest;Bogdánfy utca 3.       ;13053;47.472763,19.056262
Budapest - Irinyi József utca 47.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1117;Budapest;Irinyi József utca 47.      ;13054;47.474263,19.053133
Budapest - Somlói út        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1118;Budapest;Somlói út        ;13055;47.486347,19.03241
Budapest - Rétköz utca 27.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1118;Budapest;Rétköz utca 27.       ;13056;47.469022,19.002438
Budapest - Rege út 21.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1121;Budapest;Rege út 21.       ;13057;47.495037,18.978838
Budapest - Mártonhegyi út        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1121;Budapest;Mártonhegyi út        ;13058;47.49113,18.999146
Budapest - Maros utca 30.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1122;Budapest;Maros utca 30.       ;13059;47.50538,19.020838
Budapest - Thomán István utca 1.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1124;Budapest;Thomán István utca 1.      ;13060;47.49511,19.002945
Budapest - Sashegyi út        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1124;Budapest;Sashegyi út        ;13061;47.486499,19.01403
Budapest - Szendrő utca 52.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1125;Budapest;Szendrő utca 52.       ;13062;47.50256,19.002233
